species,thousand_seed_weight_g,seeds_per_gram,seeds_per_oz,seeds_per_lb,material,collection_location
Leersia oryzoides (L.) Sw.,1.1930,838.2,23763,380212,caryopsis,"Balmazújváros, HU"
Legousia speculum-veneris (L.) Chaix,0.2030,4926.1,139653,2234445,seed,"Freising-Pulling, DE"
Lepidium graminifolium L.,0.2650,3773.6,106979,1711669,seed,"Budapest, HU"
Lepidium sativum L.,1.8100,552.5,15663,250604,seed,"Budapest, HU"
Linaria arvensis (L.) Desf.,0.2170,4608.3,130643,2090287,seed,"Rouen, FR"
Linum dolomiticum Borbás,1.3880,720.5,20425,326796,seed,"Budapest, HU"
Linum flavum L.,1.2280,814.3,23086,369375,seed,"Budapest, HU"
Linum usitatissimum L.,6.1530,162.5,4607,73719,seed,"Budapest, HU"
Lonicera caprifolium L.,11.3750,87.9,2492,39876,seed,"Kaunas, LV"
Lonicera tatarica L.,3.4930,286.3,8116,129858,seed,"Kaunas, LV"
Lotus pedunculatus Cav.,0.4510,2217.3,62859,1005748,seed,"Gatersleben, DE"
Ludwigia repens J. R. Forst.,0.0320,31250.0,885922,14174762,seed,"Tata, HU"
Lunaria annua L.,23.8250,42.0,1190,19039,seed,"Rostock, DE"
"Luzula divulgata Kirschner, J.",0.5880,1700.7,48213,771416,seed,"Deușu, RO (Gh)"
Lycium barbarum L.,1.5770,634.1,17977,287630,seed,"Nijmegen, NL"
Lycium chinense Mill.,1.6880,592.4,16795,268716,seed,"Nijmegen, NL"
Lycopersicon esculentum Mill.,3.1460,317.9,9011,144181,seed,"Kecskemét, HU"
Malva thuringiaca (L.) Vis.,3.6930,270.8,7677,122825,mericarp,"Tatabánya, HU"
Mimulus guttatus DC.,0.0280,35714.3,1012482,16199727,seed,"Oulu, FI"
Moenchia mantica (L.) Bartl.,0.0900,11111.1,314994,5039915,seed,"Szőce, HU"
Muscari tenuiflorum Tausch,2.2100,452.5,12828,205245,seed,"Bükkzsérc, HU"
Myosotis arvensis (L.) Hill,0.2870,3484.3,98779,1580461,carcerulus,"Gyula, HU"
Najas gracillima (Engelm.) Magnus,0.1700,5882.4,166762,2668190,seed,"Szarvas, HU"
Nasturtium officinale W. T. Aiton,0.1300,7692.3,218073,3489172,seed,"Rouen, FR"
Nepeta cataria L.,0.6540,1529.1,43348,693566,carcerulus,"Budapest, HU"
Nicotiana rustica L.,0.1920,5208.3,147654,2362460,seed,"Budapest, HU"
Nicotiana tabacum L.,0.0720,13888.9,393743,6299894,seed,"Tápiószele, HU"
Oenanthe fistulosa L.,2.5770,388.0,11001,176016,achaenium,"Nijmegen, NL"
Opuntia humifusa (Raf.) Raf.,22.7800,43.9,1244,19912,seed,"Kunbaracs, HU"
Opuntia phaeacantha Engelm.,29.9300,33.4,947,15155,seed,"Budapest, HU"
Panicum dichotomiflorum Michx.,0.9000,1111.1,31499,503992,caryopsis,"Körmend, HU"
Papaver somniferum L.,0.2170,4608.3,130643,2090287,seed,"Nijmegen, NL"
Paronychia cephalotes (M. Bieb.) Besser,0.3570,2801.1,79410,1270567,seed,"Pétfürdő, HU"
Persicaria minor (Huds.) Opiz,0.5450,1834.9,52017,832280,carcerulus,"Füzesabony, HU"
Persicaria orientalis (L.) Spach,7.6210,131.2,3720,59519,carcerulus,"Budapest, HU"
Petasites hybridus (L.) G. Gaertn. & al.,0.1370,7299.3,206931,3310893,achaenium,"Regéc, HU"
Petroselinum crispum (Mill.) Fuss,1.1540,866.6,24566,393061,achaenium,"Tápiószele, HU"
Phaseolus coccineus L.,361.6500,2.8,78,1254,seed,"Tartu, FI"
Phaseolus vulgaris L.,410.2160,2.4,69,1106,seed,"Copenhagen, DK"
Pilosella piloselloides (Vill.) Soják,0.0750,13333.3,377993,6047898,achaenium,"Tard, HU"
Plantago argentea Chaix,1.6980,588.9,16696,267133,seed,"Budapest, HU"
Plantago coronopus L.,0.1200,8333.3,236246,3779936,seed,"Vashosszúfalu, HU"
Plantago lanceolata L.,1.1940,837.5,23743,379893,seed,"Budapest, HU"
Poa pratensis L.,0.2530,3952.6,112053,1792855,caryopsis,"Ghimeș, RO (Gh)"
Polemonium reptans L.,1.2400,806.5,22862,365800,carcerulus,"Debrecen, HU"
Polycarpon tetraphyllum (L.) L.,0.0030,333333.3,9449833,151197457,seed,"Budapest, HU"
Potamogeton coloratus Hornem.,0.5850,1709.4,48461,775372,carcerulus,"Raposka, HU"
Potamogeton lucens L.,3.1730,315.2,8935,142954,carcerulus,"Gávavencsellő, HU"
Potamogeton natans L.,5.8500,170.9,4846,77537,carcerulus,"Kaszó, HU"
Potentilla pusilla Host,0.2300,4347.8,123259,1972141,nucula,"Ghimeș, RO (Gh)"
Prunella grandiflora (L.) Scholler,1.0210,979.4,27766,444263,seed,"Budapest, HU"
Prunus fruticosa Pall.,99.3550,10.1,285,4565,drupa,"Tolcsva, HU"
Pulsatilla alpina (L.) Delarbre,3.2000,312.5,8859,141748,nucula,"Štrba, SK"
Quercus pubescens Willd.,1858.3160,0.5,15,244,glans,"Szarvaskő, HU"
Radiola linoides Roth,0.0040,250000.0,7087375,113398092,seed,"Nagyhuta, HU"
Ranunculus peltatus Schrank,0.3050,3278.7,92949,1487188,nucula,"Hortobágy, HU"
Ranunculus rionii Lagger,0.0060,166666.7,4724917,75598728,nucula,"Polgár, HU"
Raphanus raphanistrum L.,10.3360,96.7,2743,43885,seed,"Nijmegen, NL"
Reynoutria japonica Houtt.,1.3230,755.9,21428,342851,carcerulus,"Budapest, HU"
Rorippa amphibia (L.) Besser × Rorippa sylvestris (L.) Besser,0.0370,27027.0,766203,12259253,seed,"Zalalövő, HU"
Rorippa austriaca (Crantz) Besser,0.0430,23255.8,659291,10548660,seed,"Gyula, HU"
Rubus praecox Bertol.,3.5700,280.1,7941,127057,seed,"Karcag, HU"
Rumex kerneri Borbás,1.6550,604.2,17130,274074,carcerulus,"Budapest, HU"
Rumex pulcher L.,0.7570,1321.0,37450,599197,carcerulus,"Brussels, BE"
Rumex rugosus Campd.,0.7830,1277.1,36206,579301,carcerulus,"Budapest, HU"
Sagina apetala Ard.,0.0100,100000.0,2834950,45359237,seed,"Caen, FR"
Sagittaria subulata (L.) Buchenau,0.2400,4166.7,118123,1889968,carcerulus,"Miskolc, HU"
Salsola soda L.,3.3950,294.6,8350,133606,capsule,"Zagreb, HR"
Salvia aethiopis L.,2.0030,499.3,14154,226457,carcerulus,"Esztergom, HU"
Salvia officinalis L.,6.7820,147.4,4180,66882,carcerulus,"Rostock, DE"
Salvia sclarea L.,3.9570,252.7,7164,114630,carcerulus,"Leipzig, DE"
Salvia verbenaca L.,2.2200,450.5,12770,204321,carcerulus,"Leipzig, DE"
Scabiosa canescens Waldst. & Kit.,0.7720,1295.3,36722,587555,achaenium,"Budapest, HU"
Scilla spetana Kereszty,6.6200,151.1,4282,68518,seed,"Nadap, HU"
Scorzonera purpurea L.,4.8130,207.8,5890,94243,achaenium,"Miskolc, HU"
Scrophularia scopolii Hoppe,0.0220,45454.5,1288614,20617835,seed,"Vácrátót, HU"
Scutellaria columnae All.,2.0430,489.5,13876,222023,carcerulus,"Tatabánya, HU"
Senecio nemorensis L.,0.8100,1234.6,34999,559991,achaenium,"Moscow, RU"
Senecio ovatus (G. Gaertn. & al.) Hoppe,1.2330,811.0,22992,367877,achaenium,"Nijmegen, NL"
Senecio rupestris Waldst. & Kit.,0.3070,3257.3,92344,1477500,achaenium,"Marburg, DE"
Senecio sarracenicus L.,0.6870,1455.6,41266,660251,achaenium,"Ásványráró, HU"
Setaria italica (L.) P. Beauv.,2.2650,441.5,12516,200262,caryopsis*,"Basel, CH"
Silaum silaus (L.) Schinz & Thell.,1.9960,501.0,14203,227251,achaenium,"Rouen, FR"
Silene noctiflora L.,0.5570,1795.3,50897,814349,seed,"Celldömölk, HU"
Silybum marianum (L.) Gaertn.,26.0420,38.4,1089,17418,achaenium,"Debrecen, HU"
Sinapis alba L.,5.5760,179.3,5084,81347,seed,"Budapest, HU"
Sisymbrium officinale (L.) Scop.,0.1710,5848.0,165787,2652587,seed,"Budapest, HU"
Sisyrinchium angustifolium Mill.,0.8130,1230.0,34870,557924,seed,"Oulu, FI"
Sium sisarum L.,1.1690,855.4,24251,388017,achaenium,"Rouen, FR"
Solanum alatum Moench,0.3440,2907.0,82411,1318582,seed,"Nijmegen, NL"
Solanum rostratum Dunal,2.3890,418.6,11867,189867,seed,"Budapest, HU"
Sorbus domestica L.,72.9470,13.7,389,6218,seed,"Barabás, HU"
Sorghum bicolor (L.) Moench,19.9300,50.2,1422,22759,caryopsis*,"Vácrátót, HU"
Sorghum drummondii (Steud.) Millsp. & Chase,19.3570,51.7,1465,23433,caryopsis,"Vácrátót, HU"
Sporobolus cryptandrus (Torr.) A. Gray,0.0830,12048.2,341560,5464968,caryopsis,"Kecskemét, HU"
Staphylea pinnata L.,365.1600,2.7,78,1242,seed,"Miskolc, HU"
Stellaria alsine Grimm,0.1240,8064.5,228625,3658003,seed,"Vácrátót, HU"
Stellaria neglecta (Lej.) Weihe,0.4170,2398.1,67984,1087751,seed,"Háromhuta, HU"
Stellaria nemorum L.,0.1400,7142.9,202496,3239946,seed,"Körmend, HU"
Sternbergia colchiciflora Waldst. & Kit.,7.8500,127.4,3611,57782,seed,"Balatonkenese, HU"
Styphnolobium japonicum (L.) Schott,45.9870,21.7,616,9863,seed,"Nyíregyháza, HU"
Symphyotrichum ciliatum (Ledeb.) G. L. Nesom,0.1830,5464.5,154915,2478647,achaenium,"Muhi, HU"
Tagetes erecta L.,3.4910,286.5,8121,129932,achaenium,"Debrecen, HU"
Tagetes patula L.,1.8120,551.9,15645,250327,achaenium,"Debrecen, HU"
Taraxacum besarabicum (Hornem.) Hand.-Mazz.,0.5830,1715.3,48627,778032,achaenium,"Balmazújváros, HU"
Tephroseris integrifolia (L.) Holub,0.7070,1414.4,40098,641573,achaenium,"Miskolc, HU"
Thladiantha dubia Bunge,11.4910,87.0,2467,39474,seed,"Gatersleben, DE"
Thymus serpyllum L.,0.1500,6666.7,188997,3023949,carcerulus,"Marburg, DE"
Thymus vulgaris L.,0.2980,3355.7,95133,1522122,carcerulus,"London, UK"
Tradescantia virginiana L.,4.3430,230.3,6528,104442,seed,"Nijmegen, NL"
Tragopogon porrifolius L.,14.3120,69.9,1981,31693,achaenium,"Marburg, DE"
Trifolium incarnatum L.,3.4400,290.7,8241,131858,seed,"Kaba, HU"
Trifolium lappaceum L.,1.0600,943.4,26745,427917,seed,"Prešov, SK"
Trifolium resupinatum L.,1.0400,961.5,27259,436147,seed,"Villány, HU"
Triticum aestivum L.,37.5590,26.6,755,12077,caryopsis,"Komló, HU"
Typha minima Hoppe,0.0230,43478.3,1232587,19721407,caryopsis,"Azerbaijan, AZE"
Vaccaria hispanica (Mill.) Rauschert,8.8050,113.6,3220,51515,seed,"Gatersleben, DE"
