species,behaviour,uncertain,provisional,thousand_seed_weight_g,evidence
Solanum boliviense,orthodox,,,,"96% initial germination, 100% germination after 18 years hermetic storage at 1�_3�C with 4-5% mc (Towill, 1983)"
Solanum brachistotrichum,orthodox,,,,"100% initial germination, 100% germination after 11 years hermetic storage at 1�_3�C with 4-5% mc (Towill, 1983)"
Solanum brachycarpum,orthodox,,,,"100% initial germination, 100% germination after 18 years hermetic storage at 1�_3�C with 4-5% me (Towill, 1983)"
Solanum brevidens,orthodox,,,,"99% initial germination, 12-98% germination after 17 years hermetic storage at P-3�C with 4-5% me (Towill, 1983)"
Solanum bulbocastanum,orthodox,,,,"100% initial germination, 76% germination after 21 years hermetic storage at P-3�C with 4-5% me (Towill, 1983)"
Solanum canasense,orthodox,,,,"100% initial germination, 98% germination after 18 years hermetic storage at 1�_3�C with 4-5% me (Towill, 1983)"
Solanum capsicibaccatum,orthodox,,,,"90% initial germination, 82% germination after 14 years hermetic storage at 1�_3�C with 4-5% me (Towill, 1983)"
Solanum cardiophyllum,orthodox,,,,"96% initial germination, 84-94% germination after 25 years hermetic storage at 1�_3�C with 4-5% me (Towill, 1983)"
Solanum carolinense,orthodox,,,,"dry seeds (me not reported) survive overnight in liquid nitrogen (Pence, 1991a)"
Solanum catombalense,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 1 year"
Solanum chacoense,orthodox,,,,no loss in viability after 4 years storage in bottle with silica gel
Solanum chancayense,orthodox,,,,"78% initial germination, 96% germination after 11 years hermetic storage at J""-3�C with 4-5% me (Towill, 1983)"
Solanum chomatophilum,orthodox,,,,"96% initial germination, 58% germination after 20 years hermetic storage at 1�_3�C with 4-5% me (Towill, 1983)"
Solanum clarum,orthodox,,,,"100% initial germination, 16% germination after 12 years hermetic storage at 1�_3�C with 4-5% me (Towill, 1983)"
Solanum columbianum,orthodox,,,,"100% initial germination, 62% germination after 20 years hermetic storage at 1�_3�C with 4-5% mc (Towill, 1983)"
Solanum demissum,orthodox,,,,"no loss in viability after 4 years storage in bottle with silica gel at 20�C, -20�C (Hinze et aL, 1975); 92% initial germination, 36% germination after 32 years"
Solanum dulcamara,orthodox,,,,"hermetic air-dry storage at 2�_5�C recommended (Crossley, 1974b); long-term storage under IPGru preferred conditions at RBG Kew, WP. Oldest collection 11 years;"
Solanum elaeagnifolium,orthodox,,,,"long-term storage under IPGru preferred conditions at RBG Kew, WP. Oldest collection 2 years"
Solanum fendleri,orthodox,,,,"100% initial germination, 92% germination after 21 years hermetic storage at 1�_3�C with 4-5% mc (Towill, 1983)"
Solanum fernandizianum,orthodox,,,,"100% initial germination, 14% germination after 14 years hermetic storage at 1�_3�C with 4-5% mc (Towill, 1983)"
Solanum ferocissimum,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 3 years"
Solanum gandarillasii,orthodox,,,,"84% initial germination, 70% germination after 19 years hermetic storage at 1�_3�C with 4-5% mc (Towill, 1983)"
Solanum giganteum,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 2 years"
Solanum gourlayi,orthodox,,,,"initial germination 95% with seeds at 4.5-6.8% mc, 98% germination after 28 days subsequent exposure to liquid nitrogen (Towill, 1982); 90% initial germination,"
Solanum guerreroense,orthodox,,,,"100% initial germination, 100% germination after 12 years hermetic storage at 1�_3�C with 4-5% mc (Towill, 1983)"
Solanum hermannii,orthodox,,,,"long-term storage under IPGRI preferred conditions at REG Kew, WP. Oldest collection 1 year"
Solanum hjertingii,orthodox,,,,"82% initial germination, 100% germination after 26 years hermetic storage at P-3�C with 4-5% me (Towill, 1983)"
Solanum hougasii,orthodox,,,,"82% initial germination, 100% germination after 14 years hermetic storage at 1�_3�C with 4-5% me (Towill, 1983)"
Solanum incanum,orthodox,,,,"long-term storage under IPGRI preferred conditions at REG Kew, WP. Oldest collection 13 years; germination change 100 to 94.7%, 9 years, 1 collection"
Solanum indicum,orthodox,,,,"long-term storage, ambient/silica gel drying and -20�C at REG Kew, WP. Oldest collection 2 years"
Solanum infundibuliforme,orthodox,,,,"initial germination 92% with seeds at 4.5-6.8% me, 94% germination after 28 days subsequent exposure to liquid nitrogen (Towill, 1982); 66% initial germination,"
Solanum iopetalum,orthodox,,,,"100% initial germination, 100% germination after 19 years hermetic storage at 1�_3�C with 4-5% me (Towill, 1983)"
Solanum jamesii,orthodox,,,,"100% initial germination, 38-94% germination after 15 years hermetic storage at 1�_3�C with 4-5% me (Towill, 1983)"
Solanum kurtzianum,orthodox,,,,"initial germination 90% with seeds at 4.5-6.8% me, 91 % germination after 28 days subsequent exposure to liquid nitrogen (Towill, 1982); 100% initial germinatio"
Solanum laciniatum,orthodox,,,,"long-term storage under IPGRI preferred conditions at REG Kew, WP. Oldest collection 9 years"
Solanum lasiophyllum,orthodox,,,,"long-term storage under IPGRI preferred conditions at REG Kew, WP. Oldest collection 1 year"
Solanum luteum,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 16 years; germination change 100 to 100%, 14 years, 1 collection"
Solanum mammosum,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 13 years; germination change 90 to 90%, 11 years, 1 collection"
Solanum marginatum,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 13 years"
Solanum marinasense,orthodox,,,,"100% initial germination, 86% germination after 21 years hermetic storage at 1�_3�C with 4-5% me (Towill, 1983)"
Solanum medians,orthodox,,,,"58% initial germination, 88% germination after 14 years hermetic storage at 1�_3�C with 4-5% me (Towill, 1983)"
Solanum megistacrolobum,orthodox,,,,"92% initial germination, 68% germination after 23 years hermetic storage at 1�_3�C with 4-5% me (Towill, 1983)"
Solanum melongena,orthodox,,,,"86% germination after 20 years hermetic storage at -4�C with 7% me (Barton, 1961a). Initial germination 95% with seeds at 6.2% me, 92% germination after 180 day"
Solanum microdontum,orthodox,,,,"initial germination 84% with seeds at 4.5-6.8% me, 81 % germination after 7 days subsequent exposure to liquid nitrogen (Towill, 1982); 100% initial germination"
Solanum multidissectum,orthodox,,,,"66% initial germination, 88% germination after 24 years hermetic storage at 1�_3�C with 4-5% me (Towill, 1983)"
Solanum nigram,orthodox,yes,,0.68,"52% germination after 8 months storage at 30% r.h. and 25�C (Agong,1993)"
Solanum nigrum,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP"
Solanum orbiculatum,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 1 year"
Solanum oxycarpum,orthodox,,,,"100% initial germination, 100% germination after 27 years hermetic storage at 1�_3�C with 4-5% me (Towill, 1983)"
Solanum pampasense,orthodox,,,,"initial germination 88% with seeds at 4.5-6.8% me, 92% germination after 21 days subsequent exposure to liquid nitrogen (Towill, 1982); 44% initial germination,"
Solanum panduraeforme,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 3 years"
Solanum papita,orthodox,,,,"100% initial germination, 100% germination after 25 years hermetic storage at 1�-3�C with 4-5% me (Towill, 1983)"
Solanum pinnatisectum,orthodox,,,,"86% initial germination, 100% germination after 20 years hermetic storage at 1�_3�C with 4-5% me (Towill, 1983)"
Solanum polyadenium,orthodox,,,,"98% initial germination, 72% germination after 24 years hermetic storage at 1�_3�C with 4-5% me (Towill, 1983)"
Solanum polytrichon,orthodox,,,,"100% initial germination, 100% germination after 21 years hermetic storage at 1�_3�C with 4-5% me (Towill, 1983)"
Solanum pseudocapsicum,orthodox,,,,"seeds not damaged from exposure to liquid nitrogen (Stanwood & Bass, 1981)"
Solanum pulverulentum,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP (germination <75%)"
Solanum quadriloculatum,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 3 years"
Solanum quitoensis,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 3 years"
Solanum raphanifolium,orthodox,,,,"100% initial germination, 92% germination after 18 years hermetic storage at 1�_3�C with 4-5% me (Towill, 1983)"
Solanum rigescentoides,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 2 years"
Solanum sanctae-rosae,orthodox,,,,"84% initial germination, 40% germination after 21 years hermetic storage at 1�_3�C with 4-5% me (Towill, 1983)"
Solanum sarachoides,orthodox,,yes,,"54% germination after 5 years open storage (Comes et ai, 1978)"
Solanum sisymbriifolium,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 15 years; germination change 98 to 86%,14 years, 1 collection"
Solanum sodanaeum,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 1 year"
Solanum sodomaeum,orthodox,,,,"1% germination after 51 years storage at room temperature (Harrington, 1972)"
Solanum sodomeum,orthodox,,,,"seeds tolerate desiccation to 9% me, unfreezable me = 18%, dry seeds survive 24 hours in liquid nitrogen (Becwar et ai, 1983)"
Solanum sparsipilum,orthodox,,,,"94% initial germination, 100% germination after 21 years hermetic storage at P-3�C with 4-5% me (Towill, 1983)"
Solanum spegazinni,orthodox,,,,"initial germination 80% with seeds at 4.5-6.8% me, 81 % germination after 7 days subsequent exposure to liquid nitrogen (Towill, 1982); 82% initial germination,"
Solanum stenophyllidium,orthodox,,yes,,"50% initial germination, 40% germination after 8 years hermetic storage at 10_3�C with 4-5% mc (Towill, 1983)"
Solanum stoloniferum,orthodox,,,,"no loss in viability after 4 years storage in bottle with silica gel at 20�C, -20�C (Hinze et al., 1975); initial germination 97% with seeds at 4.5-6.8% mc, 98%"
Solanum sucrense,orthodox,,,,"initial germination 98% with seeds at 4.5-6.8% mc, 98% germination after 3 days subsequent exposure to liquid nitrogen (Towill, 1982)"
Solanum tarijense,orthodox,,,,"initial germination 69% with seeds at 4.5-6.8% mc, 70% germination after 3 days subsequent exposure to liquid nitrogen (Towill, 1982); 90% initial germination, "
Solanum toralapanum,orthodox,,,,"78% initial germination, 88% germination after 13 years hermetic storage at 1�_3�C with 4-5% mc (Towill, 1983)"
Solanum torvum,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 12 years"
Solanum tridynamum,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, """"'P. Oldest collection 2 years"
Solanum tuberosa,orthodox,,,,"100% initial germination, 98% germination after 27 years hermetic storage at 1o_3�C with 4-5% mc (Towill, 1983)"
Solanum tuberosum,orthodox,,,,"76% initial germination, 87% germination after 7.5 years hermetic storage with silica gel at 5�C (Simmonds, 1968). 17% germination after 20 years storage at roo"
Solanum venturii,orthodox,,,,"84% initial germination, 78% germination after 25 years hermetic storage at 1�_3�C with 4-5% me (Towill, 1983)"
Solanum vernei,orthodox,,,,"initial germination 96% with seeds at 4.5-6.8% me, 94% germination after 3 days subsequent exposure to liquid nitrogen (Towill, 1982); 84% initial germination, "
Solanum verrucosum,orthodox,,,,"viability increases from 92% to 100% after 25 years storage in sealed glass tubes at 5�C (Howard, 1980); 94% initial germination, 100% germination after 19 year"
Solanum viarum,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 14 years; average germination change 98 to 100%, mean storage period 10 yea"
Solanum violaceimarmoratum,orthodox,,,,"96% initial germination, 70% germination after 10 years hermetic storage at 1�_3�C with 4-5% me (Towill, 1983)"
Solenostemon scutellarioides,orthodox,,,,"no loss in viability following 14 years storage at 35-40% r.h. and 4�C (Bass, 1980); seeds maintained for 2-5 years in commercial storage conditions (Priestley,"
Sonneratia apetala,orthodox,yes,,,"sun-dried seeds germinate well (Siddiqi & Islam, 1988)"
Sophora arizonica,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 1 year"
Sophora chrysophylla,orthodox,,yes,,"no loss in viability after 4 years storage at 10oe, 15�e with 30% to 75% r.h. (Akamine, 1951)"
Sophora davidii,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 10 years; germination change 87 to 100%,9 years, 1 collection"
Sophora microphylla,orthodox,,,110,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 11 years; germination change 100 to 100%, 10 years, 1 collection"
Sophora secundijlora,orthodox,yes,,,"(Wang, 1991)"
Sophora tomentosa,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 13 years; germination change 96 to 80%, 12 years, 1 collection"
Sophronitis coccinea,intermediate,yes,,,"<50% germination after 3 months hermetic storage at -10�C (Bowling & Thompson, 1972; cited by Pritchard & Seaton, 1993)"
Sorbaria sorbifolia,orthodox,,,0.6,"hermetic air-dry storage at 2�C to 5�C recommended (Rudolf, 1974h); long-term storage under IPGru preferred conditions at RBG Kew, WP. Oldest collection II year"
Sorbus americana,orthodox,,yes,,"little loss in viability following 2 to 8 years hermetic air-dry storage at low temperatures, hermetic storage at 2�-4�C with 6--8% me recommended (Harris & Ste"
Sorbus aria,orthodox,,,,"(Gordon & Rowe, 1982); seeds should be dried to <12% me before storage (Gordon & Rowe, 1982)"
Sorbus aucuparia,orthodox,,,,"seeds tolerate desiccation to moisture contents in equilibrium with 10% r.h. (Flemion, 1931); storage at room temperature with 25% r.h. is satisfactory, and her"
Sorbus decora,orthodox,,yes,,"little loss in viability following 2 to 8 years hermetic air-dry storage at low temperatures, and hermetic storage at 2�-4�C with 6--8% me recommended (Harris &"
Sorbus intermedia,orthodox,,,,"(Gordon & Rowe, 1982); seeds should be dried to <12% me before storage (Gordon & Rowe, 1982)"
Sorbus sitchensis,orthodox,,yes,,"little loss in viability following 2 to 8 years hermetic air-dry storage at low temperatures, and hermetic storage at 2�-4�C with 6--8% me recommended (Harris &"
Sorbus torminalis,orthodox,,,,"(Gordon & Rowe, 1982); seeds should be dried to <12% me before storage (Gordon & Rowe, 1982)"
Soymida febrifuga,recalcitrant,yes,,100,"rapid loss in viability at room temperature (Dent, 1948); viability is lost within 2 weeks in open storage at room temperature (Kandya, 1987)"
Spach var,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 1 year"
Sparganium emersum,orthodox,yes,,,"germination increases from 7% to 21 % after 12 months hermetic air-<lry storage at 5�C (Grime et ai, 1981)"
Sparganium erectum,orthodox,yes,,,"(Grime et at., 1981)"
Sparganium ramosum,orthodox,yes,,,"seeds tolerate desiccation (Guppy, 1897)"
Sparganium simplex,orthodox,yes,,,"seeds tolerate desiccation (Guppy, 1897)"
Spathoglottis plicata,orthodox,,,,">75% germination after 7 months hermetic storage at _lOoe (Bowling & Thompson, 1972; cited by Pritchard & Seaton, 1993)"
Spermacoce chaetocephala,orthodox,,,,"long-term storage under IPGRl preferred conditions at RBG Kew, WP. Oldest collection 5 years"
Spermacoce filifolia,orthodox,,,,"long-term storage under IPGRl preferred conditions at RBG Kew, WP. Oldest collection 5 years"
Sphaeralcea abutiloides,orthodox,,,,"43% germination after 74 years storage in paper bags at room temperature (Harrington, 1972)"
Sphaeralcea grossulariaefolia,orthodox,,,,no loss in viability following 15 years open storage m a
Sphaeralcea munroana,orthodox,,,,"seeds maintained for 15 years (Pendery & Rumbaugh, 1986)"
Sphaerolobium fornicatum,orthodox,,,0.8,"56% initial germination with seeds at 7.1 % me, 64% to 68% germination after 14 days storage in liquid nitrogen depending on pretreatment (Touchell & Dixon, 199"
Spiraea aemiliana,orthodox,yes,,,"air-dried seeds (Din & Heuser, 1987)"
Spiraea alba,orthodox,yes,,,"air-dried seeds (Din & Heuser, 1987)"
Spiraea amoena,orthodox,yes,,,"air-dried seeds (Din & Heuser, 1987)"
Spiraea chamaedryfolia,orthodox,yes,,,"air-dried seeds (Din & Heuser, 1987)"
Spiraea densijlora,orthodox,yes,,,"air-dried seeds (Din & Heuser, 1987)"
Spiraea japonica,orthodox,yes,,,"air-dried seeds (Din & Heuser, 1987)"
Spiraea miyabei,orthodox,,,,"air-dried seeds (Din & Heuser, 1987); long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection II years; germination change 100 to 1"
Spiraea virgata,orthodox,yes,,,"air-dried seeds (Din & Heuser, 1987)"
Srylidium adnatum,orthodox,,,0.05,"30% initial germination with seeds at 13.6% mc, 18% to 35% germination after 14 days subsequent storage in liquid nitrogen (Touchell & Dixon, 1993)"
Srylobasium australe,orthodox,,,40.6,"4% initial germination with seeds at 8.7% mc, 0% to 16% germination after 14 days subsequent storage in liquid nitrogen (Touchell & Dixon, 1993)"
Stachys byzantina,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 2 years"
Stachys germanica,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 2 years"
Stachys macrantha,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 13 years; germination change 100 to 90%, 12 years, 1 collection"
Stachys officinalis,orthodox,,,,"59% germination following 12 months hermetic air-dry storage at 5�C (Grime et aL, 1981); long-term storage under IPGRI preferred conditions at RBG Kew, WP. Olde"
Stachys sylvatica,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 14 years; average germination change 81 to 93.1 %, mean storage period 9 ye"
Stachytarpheta crassifolia,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 9 years"
Stachytarpheta indica,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 7 years"
Stanhopea bucephalus,intermediate,yes,,,"<75% germination after 7 months hermetic storage at _lOoe (Bowling & Thompson, 1972; cited by Pritchard & Seaton, 1993)"
Stanhopea tigrina,intermediate,yes,,,"<20% germination after 7 months hermetic storage at -10�C (Bowling & Thompson, 1972; cited by Pritchard & Seaton, 1993)"
Staphylea colchica,orthodox,,,,"8% germination following 17 years air-dry storage at 40% r.h. and 4�C (Widrlechner, 1990)"
Stemonocoleus micranthus,orthodox,,,,"long-term storage at UTA Genebank (Ng et aL, 1993)"
Sterculia alata,orthodox,,yes,833,"no problem of storage for ""long periods of time"" (Doai Van Nguyen, pers. com.)"
Sterculia foetida,orthodox,,yes,,"no problem of storage for ""long periods of time"" (Doai Van Nguyen, pers. com.)"
Sterculia oblonga,orthodox,,,,"long-term storage at UTA Genebank (Ng et aI., 1993)"
Sterculia quadrifida,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Sterculia setigera,orthodox,,,,"long-term storage at UTA Genebank (Ng et aI., 1993); longterm storage under IPGRl preferred conditions at RBG Kew, WP. Oldest collection 1 year"
Sterculia tragacantha,orthodox,,,,"long-term storage at UTA Genebank (Ng et al., 1993)"
Sterculia urens,orthodox,,yes,189,"viability maintained for more than 3 years in hermetic storage at room temperature with 13�2% mc (Kaul, 1979)"
Stevensonia grandiflora,recalcitrant,yes,,,Leon (1961) classified this genus in the short-lived seed class
Storage behaviour,orthodox,,,,"long-term storage at UTA Genebank (Ng et ai., 1993) AJzelia bipindensis Harms. Storage behaviour: Orthodox; long-term storage at UTA Genebank (Ng et al., 1993) "
Strophostyles helvula,orthodox,,,,"11 % germination following 61 years storage at room temperature (Harrington, 1972)"
Strychnos cocculoides,orthodox,yes,,,"(Tietema et aL, 1992)"
Strychnos nux-blanda,orthodox,yes,,,"no loss in viability during 1 year storage (Dent, 1948)"
Strychnos nux-vomica,orthodox,,yes,,"no loss in viability during 1 year storage (Dent, 1948), up to 3 years in hermetic storage at room temperature with 13�2% mc (Kaul, 1979)"
Strychnos spinosa,orthodox,,,,"long-term storage at UTA Genebank (Ng et aL, 1993)"
Stylobasium spathulatum,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 2 years"
Stylophorum diphyllum,orthodox,,,,"dry seeds (me not reported) survive overnight in liquid nitrogen (Pence, 1991a)"
Stylosanthes capitata,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 11 years; average germination change 93.1 to 93.1 %, mean storage period 10"
Stylosanthes fruticosa,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 3 years"
Stylosanthes macrocephala,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 11 years; average germination change 98.8 to 100%, mean storage period 10 y"
Stylosanthes mucronata,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 4 years"
Stylosanthes pilosa,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 11 years; average germination change 100 to 90%, mean storage period 10 yea"
Stylosanthes scabra,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 11 years; germination change 100 to 95%, 10 years, 1 collection"
Stylosanthes viscosa,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 11 years; average germination change 100 to 95%, mean storage period 10 yea"
Styrax tonkinensis,orthodox,yes,,,"MCS = 29%, seeds tolerate desiccation to 15% mc, however moist storage is preferred, no loss in viability after 12 months moist storage at 20�C with 27-30% mc s"
Sullivantia sullivantii,orthodox,,,,"dry seeds (mc not reported) survive overnight in liquid nitrogen (Pence, 1991a)"
Sutherlandia frutescens,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 18 years; germination change 100 to 100%, 14 years, 1 collection"
Swainsona canescens,orthodox,,,1.7,"44% initial germination with seeds at 5.4% me, 56% to 68% germination after 14 days storage in liquid nitrogen depending on pretreatment (Touchell & Dixon, 1993"
Swainsona galegifolia,orthodox,,,,"11 % germination following 25 years open storage at room temperature (Ewart, 1908)"
Swainsona maccullochiana,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Swietenia humilis,orthodox,,,630,"seeds tolerate desiccation to 4% mc, 93% germination after 2 years subsequent hermetic storage at -18�C (Tompsett, 1994); C"" = 2.45 (Tompsett, 1990); seeds main"
Swinglea glutinosa,orthodox,,yes,,seeds are maintained at BLSF Costa Rica
Syncarpia laurifolia,orthodox,,yes,5,"no loss in viability after 4 years storage at 30% and up to 75% r.h. at lOoC (Akamine, 1951)"
Synsepalum dulcificum,recalcitrant,yes,,,"viability can be maintained for 1 month in moist storage at 20�C (Riley, 1981)"
Syringa amurensis,orthodox,,yes,,"little loss in viability after 2 years storage in paper bags in a dry place, viability can be maintained for longer periods in hermetic air-dry storage at 2�_5�"
Syringa persica,orthodox,,yes,,"little loss in viability after 2 years storage in paper bags in a dry place, viability can be maintained for longer periods in hermetic air-dry storage at 2�_5�"
Syringa villosa,orthodox,,yes,,"little loss in viability after 2 years storage in paper bags in a dry place, viability can be maintained for longer periods in hermetic air-dry storage at 2�_5�"
Syringa vulgaris,orthodox,,,,"long-term storage under IPGRl preferred conditions at RBG Kew, WP. Oldest collection 18 years; germination change 83 to 87.5%, 16 years, 1 collection"
Syringa yunnanensis,orthodox,,,,"long-term storage under IPGRl preferred conditions at RBG Kew, WP. Oldest collection 16 years; average germination change 100 to 90%, mean storage period 14 yea"
Syzygium cumini,recalcitrant,yes,,,"viability lost within 2 weeks open storage at room temperature (Kandya, 1987) Syzygium guineense (Willd.) DC. TSW = 330g-2,220g Storage behaviour: Recalcitrant "
Syzygium jambos,recalcitrant,,,,"(Anon., 1993) Syzygium maire Storage behaviour: Recalcitrant (Fountain & Outred, 1991) Syzygium malaccense (L.) Merr. & Perry (Eugenia malaccensis L.; E. domest"
Taiwania cryptomerioides,orthodox,,,,"P,o = 24 months when hermetically stored at O�C with 8% mc (Chung & Hu, 1986, cited by Lin & Huang, 1994); seeds are maintained in the long-term seed store at D"
Talinum paniculatum,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 18 years; germination change 99 to 100%, 13 years, 1 collection"
Tamarix pentandra,orthodox,yes,,,"50% germination after 1.8 years air~ry storage at 5�C, while viability lost rapidly at room temperature (Reynolds & Alexander, 1974)"
Taxus baccata,orthodox,,yes,59,"viability maintained for 5-6 years in hermetic air-dry storage at 2�_3�C (Rudolf, 1974q)"
Taxus brevifolia,orthodox,,yes,29,"viability maintained for 5-6 years in hermetic air-dry storage at 2�_3�C (Rudolf, 1974q)"
Taxus canadensis,orthodox,,yes,22,"viability maintained for 5-6 years in hermetic air-dry storage at 2�_3�C (Rudolf, 1974q)"
Taxus cuspidata,orthodox,,yes,62.5,"viability maintained for 5-6 years in hermetic air-dry storage at 2�_3�C (Rudolf, 1974q)"
Taxus wallichiana,orthodox,,yes,125,"viability maintained for 4 years in cold hermetic air-dry storage (Campbell, 1980)"
Telephium imperati,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 14 years; germination change 80 to 90%, 13 years, 1 collection"
Teline paivae,orthodox,,yes,,"5% germination after 6--7 years storage at room temperature (Garcia & Duran, 1989)"
Tellima grandijlora,orthodox,,yes,,"viability is halved after 6 years storage under laboratory conditions (Priestley, 1986)"
Templetonia egena,orthodox,,,,"3% germination following 9 years open storage at room temperature (Ewart, 1908)"
Templetonia retusa,orthodox,,,26,"(Langkamp & Plaisted, 1987); 62% initial germination with seeds at 6.7% me, 37% to 62% germination after 14 days storage in liquid nitrogen depending on pretrea"
Tephrosia apollinea,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 4 years"
Tephrosia candida,orthodox,,yes,,"no loss in viability following 3 years in open storage (Dent, 1948); viability maintained following 3 years hermetic storage at room temperature with 13%�2% me "
Tephrosia cinerea,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP"
Tephrosia elegans,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 3 years"
Tephrosia linearis,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 3 years"
Tephrosia nana,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 3 years"
Tephrosia pedicellata,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 3 years"
Tephrosia pumila,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 13 years; germination change 83 to 100%, 12 years, 1 collection"
Tephrosia purpurea,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 12 years; average germination change 98.3 to 88.3%, mean storage period 11 "
Tephrosia uniflora,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 4 years"
Tephrosia vogelii,orthodox,,yes,,"no loss in viability during 2-3 years in open storage (Dent, 1948)"
Teramnus labialis,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 11 years; germination change 100 to 100%, 10 years, 1 collection"
Teramnus repens,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 2 years"
Teramnus uncinatus,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 4 years"
Tetrapleura tetraptera,orthodox,,,,"long-term storage at IITA Genebank (Ng et al., 1993)"
Teucrium botrys,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 15 years; average germination change 92 to 73.4%, mean storage period 12 ye"
Teucrium buxifolium,orthodox,,yes,,"72% germination after 6-7 years storage at room temperature (Garcia & Duran, 1989)"
Teucrium chamaedrys,orthodox,yes,,,"hermetic air-dry storage at cool temperatures recommended (Young & Young, 1992)"
Teucrium eriocephalum,orthodox,,yes,,"22% germination after 6-7 years storage at room temperature (Garcia & Duran, 1989)"
Teucrium gnaphalodes,orthodox,,yes,,"10% germination after 6-7 years storage at room temperature (Garcia & Duran, 1989)"
