species,behaviour,uncertain,provisional,thousand_seed_weight_g,evidence
Aconitum napellus,orthodox,,,,"seeds maintained for 4 years in commercial storage conditions (Priestley, 1986); long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest colle"
Aconitum septentrionale,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 14 years; average germination change 80 to 22.5%, mean storage period 11 ye"
Aconitum talassicum,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 13 years"
Aconitum vulparia,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 14 years"
Acrocarpus fraxinifolius,orthodox,,yes,28,"a few seeds survive 7 years storage at room temperature (Dent, 1942, 1948)"
Actaea pachypoda,orthodox,,,,"dry seeds (me not reported) survive overnight in liquid nitrogen (Pence, 1991a)"
Actaea spicata,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 8 years"
Adenanthera abrosperma,orthodox,yes,,,"(Langkamp & Plaisted, 1987)"
Adenocarpus complicatus,orthodox,,,,"long-term storage under IPGRl preferred conditions at RBG Kew, WP. Oldest collection 2 years"
Adenocarpus decorticans,orthodox,yes,,,"(Trillo & Carro, 1993)"
Adenodolichos paniculatus,orthodox,,,,"long-term storage under IPGRl preferred conditions at RBG Kew, WP. Oldest collection 3 years"
Adenolobus pechuellii,orthodox,,,,"long-term storage under IPGRl preferred conditions at RBG Kew, WP. Oldest collection 1 year"
Adina cordifolia,orthodox,yes,,0.09,"viability maintained for 2 years (Dent, 1948); for 1 year in open storage (Campbell, 1980); 6 months dry after-ripening is required to increase germination from"
Aegopodium podagraria,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP (germination <75%)"
Aeschynomene abyssinica,orthodox,,,,"seeds are maintained in the long-term seed store at PGRCjEthiopia (Zewdie, 1994)"
Aeschynomene indica,orthodox,,,,"long-term storage under IPGRl preferred conditions at RBG Kew, WP. Oldest collection 1 year"
Aeschynomene mollicula,orthodox,,,,"long-term storage under IPGRl preferred conditions at RBG Kew, WP. Oldest collection 4 years"
