scientific_name,rank,common_names,has_seed_count,has_longevity,has_viability_constants,has_germination_conditions,dataset_count,datasets
Rubus canadensis,species,blackberry; raspberry,yes,,,,1,wpsm_woody_counts
Rubus chamaemorus,species,blackberry; raspberry,yes,,,,1,wpsm_woody_counts
Rubus hispidus,species,blackberry; raspberry,yes,,,,1,wpsm_woody_counts
Rubus idaeus,species,blackberry; raspberry,yes,,,,1,wpsm_woody_counts
Rubus laciniatus,species,blackberry; raspberry,yes,,,,1,wpsm_woody_counts
Rubus occidentalis,species,blackberry; raspberry,yes,,,,1,wpsm_woody_counts
Rubus odoratus,species,blackberry; raspberry,yes,,,,1,wpsm_woody_counts
Rubus parviflorus,species,blackberry; raspberry,yes,,,,1,wpsm_woody_counts
Rubus praecox,species,,yes,,,,1,figshare_tsw_counts
Rubus procerus,species,blackberry; raspberry,yes,,,,1,wpsm_woody_counts
Rubus spectabilis,species,blackberry; raspberry,yes,,,,1,wpsm_woody_counts
Rubus ursinus,species,blackberry; raspberry,yes,,,,1,wpsm_woody_counts
Rumex kerneri,species,,yes,,,,1,figshare_tsw_counts
Rumex pulcher,species,,yes,,,,1,figshare_tsw_counts
Rumex rugosus,species,,yes,,,,1,figshare_tsw_counts
Rutabagas,genus,rutabagas,,yes,,,1,osborne_viability
Sabal etonia,species,palmetto,yes,,,,1,wpsm_woody_counts
Sage,genus,sage,,yes,,,1,johnnys_longevity
Sagina apetala,species,,yes,,,,1,figshare_tsw_counts
Sagittaria subulata,species,,yes,,,,1,figshare_tsw_counts
Salix amygdaloides,species,willow,yes,,,,1,wpsm_woody_counts
Salix bebbiana,species,willow,yes,,,,1,wpsm_woody_counts
Salix caroliniana,species,willow,yes,,,,1,wpsm_woody_counts
Salix exigua,species,willow,yes,,,,1,wpsm_woody_counts
Salix fragilis,species,willow,yes,,,,1,wpsm_woody_counts
Salix lasiandra,species,willow,yes,,,,1,wpsm_woody_counts
Salix petiolaris,species,willow,yes,,,,1,wpsm_woody_counts
Salix scouleriana,species,willow,yes,,,,1,wpsm_woody_counts
Salsola soda,species,,yes,,,,1,figshare_tsw_counts
Salvia,genus,salvia,,yes,,,1,johnnys_longevity
Salvia aethiopis,species,,yes,,,,1,figshare_tsw_counts
Salvia apiana,species,sage,yes,,,,1,wpsm_woody_counts
Salvia dorrii,species,sage,yes,,,,1,wpsm_woody_counts
Salvia mellifera,species,sage,yes,,,,1,wpsm_woody_counts
Salvia officinalis,species,,yes,,,,1,figshare_tsw_counts
Salvia sclarea,species,,yes,,,,1,figshare_tsw_counts
Salvia sonomensis,species,sage,yes,,,,1,wpsm_woody_counts
Salvia verbenaca,species,,yes,,,,1,figshare_tsw_counts
Sambucus racemosa,species,elder,yes,,,,1,wpsm_woody_counts
Saponaria,genus,saponaria,,yes,,,1,johnnys_longevity
Sassafras albidum,species,,yes,,,,1,wpsm_woody_counts
Savory,genus,savory,,yes,,,1,johnnys_longevity
Scabiosa,genus,scabiosa (pincushion flower),,yes,,,1,johnnys_longevity
Scabiosa canescens,species,,yes,,,,1,figshare_tsw_counts
Sciatopitys verticillata,species,,yes,,,,1,wpsm_woody_counts
Scilla spetana,species,,yes,,,,1,figshare_tsw_counts
Scorzonera purpurea,species,,yes,,,,1,figshare_tsw_counts
Scrophularia scopolii,species,,yes,,,,1,figshare_tsw_counts
Scutellaria columnae,species,,yes,,,,1,figshare_tsw_counts
Secale cereale,species,rye,,yes,,,1,johnnys_longevity
Senecio nemorensis,species,,yes,,,,1,figshare_tsw_counts
Senecio ovatus,species,,yes,,,,1,figshare_tsw_counts
Senecio rupestris,species,,yes,,,,1,figshare_tsw_counts
Senecio sarracenicus,species,,yes,,,,1,figshare_tsw_counts
Sesamum indicum,species,benne; sesame,,,yes,,1,kew_viability_constants
Sesbania exaltata,species,"sesbania, hemp",yes,,,,1,nrcs_conservation_counts
Setaria italica,species,,yes,,yes,,2,figshare_tsw_counts; kew_viability_constants
Setaria macrostachya,species,"bristlegrass, plains",yes,,,,1,nrcs_conservation_counts
Setaria schaelei,species,"bristlegrass, southwestern",yes,,,,1,nrcs_conservation_counts
Seteria italica,species,"millet, foxtail",yes,,,,1,nrcs_conservation_counts
Shallots,genus,shallots,,yes,,,1,osborne_viability
Silaum silaus,species,,yes,,,,1,figshare_tsw_counts
Silene noctiflora,species,,yes,,,,1,figshare_tsw_counts
Silybum marianum,species,,yes,,,,1,figshare_tsw_counts
Simsia calva,species,"bushsunflower, awnless",yes,,,,1,nrcs_conservation_counts
Sinapis alba,species,,yes,,,,1,figshare_tsw_counts
Sisymbrium officinale,species,,yes,,,,1,figshare_tsw_counts
Sisyrinchium angustifolium,species,,yes,,,,1,figshare_tsw_counts
Sium sisarum,species,,yes,,,,1,figshare_tsw_counts
Snapdragon,genus,snapdragon,,yes,,,1,johnnys_longevity
Solanum alatum,species,,yes,,,,1,figshare_tsw_counts
Solanum lycopersicum,species,tomato; tomatoes,yes,yes,,yes,5,johnnys_longevity; osborne_counts; osborne_viability; unl_g2090_counts; unl_g2090_germination
Solanum melongena,species,aubergine; brinjal; eggplant,yes,yes,,yes,5,johnnys_longevity; osborne_counts; osborne_viability; unl_g2090_counts; unl_g2090_germination
Solanum rostratum,species,,yes,,,,1,figshare_tsw_counts
